"id";"mean";"road"
1;"1";"D:/MySQL/Data/Uploads/1.mp4"
2;"2";"D:/MySQL/Data/Uploads/2.mp4"
3;"3";"D:/MySQL/Data/Uploads/3.mp4"
4;"4";"D:/MySQL/Data/Uploads/4.MP4"
5;"5";"D:/MySQL/Data/Uploads/5.MP4"
6;"6";"D:/MySQL/Data/Uploads/6.MP4"
7;"7";"D:/MySQL/Data/Uploads/7.mp4"
8;"8";"D:/MySQL/Data/Uploads/8.mp4"
9;"9";"D:/MySQL/Data/Uploads/9.mp4"
10;"10";"D:/MySQL/Data/Uploads/10.mp4"
11;"11";"D:/MySQL/Data/Uploads/11.mp4"
12;"12";"D:/MySQL/Data/Uploads/12.mp4"
13;"13";"D:/MySQL/Data/Uploads/13.mp4"
14;"14";"D:/MySQL/Data/Uploads/14.mp4"
15;"15";"D:/MySQL/Data/Uploads/15.mp4"
16;"16";"D:/MySQL/Data/Uploads/16.mp4"
17;"17";"D:/MySQL/Data/Uploads/17.mp4"
18;"18";"D:/MySQL/Data/Uploads/18.mp4"
19;"19";"D:/MySQL/Data/Uploads/19.mp4"
20;"20";"D:/MySQL/Data/Uploads/20.mp4"
21;"21";"D:/MySQL/Data/Uploads/21.mp4"
22;"22";"D:/MySQL/Data/Uploads/22.mp4"
23;"23";"D:/MySQL/Data/Uploads/23.mp4"
24;"24";"D:/MySQL/Data/Uploads/24.mp4"
25;"25";"D:/MySQL/Data/Uploads/25.mp4"
26;"26";"D:/MySQL/Data/Uploads/26.mp4"
27;"27";"D:/MySQL/Data/Uploads/27.mp4"
28;"28";"D:/MySQL/Data/Uploads/28.mp4"
29;"29";"D:/MySQL/Data/Uploads/29.mp4"
30;"30";"D:/MySQL/Data/Uploads/30.mp4"
31;"乘";"D:/MySQL/Data/Uploads/乘.mp4"
32;"您";"D:/MySQL/Data/Uploads/您.mp4"
33;"请";"D:/MySQL/Data/Uploads/请.mp4"
34;"下";"D:/MySQL/Data/Uploads/下.mp4"
35;"站";"D:/MySQL/Data/Uploads/站.mp4"
36;"记得";"D:/MySQL/Data/Uploads/记得.mp4"
37;"哪里";"D:/MySQL/Data/Uploads/哪里.mp4"
38;"刷卡";"D:/MySQL/Data/Uploads/刷卡.mp4"
39;"公交车";"D:/MySQL/Data/Uploads/公交车.mp4"
